filosofi|Studiet av grundläggande existensfrågor
metafor|Bildligt uttryck som jämför
algoritm|Stegvis beräkningsprocedur
arkitektur|Konsten att designa byggnader
astronomi|Vetenskap om himlakroppar
biografi|Skildring av någons liv
kapitalism|Ekonomiskt system med privat ägande
demokrati|Folkstyre
epistemologi|Filosofisk gren om kunskap
hierarki|System av rangordnade nivåer
juxtaposition|Placera sida vid sida för kontrast
kinetisk|Som rör rörelse
labyrint|Komplex labyrintliknande struktur
magnitud|Stor storlek eller betydelse
nomenklatur|System för att namnge saker
obskyr|Inte välkänd; svår att förstå
paradox|Till synes motsägelsefullt påstående
kvintessens|Mest fulländade förkroppsligande
resonans|Djup betydelse eller vibration
syntes|Kombination av idéer till en helhet
tangent|Bara lätt relevant
allestädesnärvarande|Närvarande överallt
empati|Upplevt genom en annan person
nyckfull|Lekfullt fantasifull
ivrig|Visar stor entusiasm
tvetydig|Öppen för mer än en tolkning
byråkrati|Komplext administrativt system
katharsis|Emotionellt utlopp genom konst
dikotomi|Uppdelning i två motsatta delar
vältalig|Flytande och övertygande i tal
felaktig|Baserad på ett misstag
släktforskning|Studiet av familjehistoria
heuristik|Praktisk problemlösning
ikonoklast|Den som utmanar tradition
omdömesgill|Visar gott omdöme
kalejdoskop|Rör som visar skiftande mönster
lakonic|Använder mycket få ord
melodiös|Sött eller musikaliskt att höra
dimma|Vag eller otydlig
ontologi|Studiet av varelsens natur
skarpsinnig|Med skarp insikt
träsk|Svår eller osäker situation
motspänd|Envist osamarbetsvillig
klok|Med skarpt omdöme
fåordig|Reserverad eller tystlåten
smörig|Överdrivet smickrande
sannolikhet|Sken av att vara sant
fast|Helt säker och solid
främlingskap|Rädsla eller hat mot utlänningar
förr|Tid i det nära förflutna
vindfläkt|Mild bris
avvikelse|Avvikelse från det normala
kakofoni|Hård blandning av ljud
skadlig|Som orsakar skada
bubblig|Livlig och entusiastisk
noggrann|Mycket uppmärksam på detaljer
grandios|Imponerande men överdrivet
haphazard|Utan organisation
olämplig|Inte i harmoni med omgivningen
juggernaut|Enorm kraftfull kraft
abstraktion|Koncept skilt från konkret verklighet
epitom|Perfekt exempel på en egenskap
hermeneutik|Konsten att tolka texter
