hav|Stort område av saltvatten
planet|Jorden är en av dessa
trädgård|Plats där blommor växer
musik|Konsten av organiserat ljud
bro|Konstruktion över en flod
slott|Befäst medeltida bostad
skog|Stort område med träd
marknad|Plats att köpa och sälja
fönster|Glasöppning i en vägg
ficka|Liten ficka i kläder
silver|Värdefull gråvit metall
ljus|Vaxstav som ger ljus
tempel|Plats för tillbedjan
segrare|Vinnare av en tävling
vinter|Årets kallaste säsong
sommar|Årets varmaste säsong
vår|Säsong när blommor blommar
höst|Säsong när löven faller
resa|Färd till avlägsna platser
vän|Person du litar på
familj|Föräldrar, syskon och släktingar
läkare|Medicinsk professionell
advokat|Juridisk professionell
konstnär|Person som skapar konst
författare|Person som skriver böcker
kaffe|Populär morgondryck
smör|Pålägg gjort av grädde
ost|Mejeriprodukt från mjölk
apelsin|Citrusfrukt eller en färg
lila|Blandning av rött och blått
gul|Färg på en banan
gitarr|Stränginstrument
piano|Tangentinstrument
fiol|Litet stränginstrument
holme|Litet land omgivet av vatten
öken|Torr sandig region
dal|Lågt område mellan kullar
älv|Rinnande sötvatten
sjö|Stort insjövatten
moln|Vit massa på himlen
storm|Svårt väder med vind och regn
blixt|Ljus flash under åskväder
regnbåge|Färgad båge efter regn
spegel|Reflekterande yta
klocka|Apparat som visar tid
telefon|Apparat för att ringa
kamera|Apparat för att ta bilder
laptop|Bärbar dator
surfplatta|Platt pekskärmsenhet
flaska|Behållare för vätskor
kudde|Mjuk kudde att sova på
filt|Varm täcke till sängen
kök|Rum för att laga mat
sovrum|Rum för att sova
badrum|Rum med dusch eller badkar
garage|Byggnad för bilar
gata|Väg i en stad
skola|Plats för lärande
museum|Byggnad med konst eller historia
teater|Plats för pjäser eller filmer
tidning|Daglig nyhetspublikation
radio|Apparat för ljudsändningar
teve|Skärm för program
dator|Elektronisk arbetsmaskin
internet|Globalt nätverk av information
mejl|Elektroniskt brev
hemsida|Sida på internet
lösenord|Skyddar ditt konto
kontor|Plats för arbete
möte|Samling för att diskutera arbete
kollega|Person du arbetar med
chef|Person som leder teamet
anställd|Person som har ett jobb
