katt|Husdjur som jamar
hund|Husdjur som skäller
sol|Lyser på himlen om dagen
måne|Lyser på himlen om natten
stjärna|Lyser på natthimlen
träd|Hög växt med löv
fågel|Djur som flyger
fisk|Simmar i vattnet
bok|Du läser sagor i denna
boll|Rund leksak att kasta
tårta|Sött till födelsedagen
mjölk|Vit dryck från kon
ägg|Höns lägger dessa
röd|Färg på ett äpple
blå|Färg på himlen
hand|Du har fem fingrar på varje
fot|Du går med dessa
näsa|Du luktar med denna
öga|Du ser med detta
hatt|Du bär denna på huvudet
säng|Där du sover
mugg|Du dricker ur denna
leksak|Något roligt att leka med
springa|Röra sig snabbt
hoppa|Hoppa upp i luften
sjunga|Göra musik med rösten
leka|Ha kul med spel
regn|Vatten som faller från molnen
snö|Vita flingor på vintern
groda|Grönt djur som hoppar
björn|Stort lurvigt djur
anka|Fågel som simmar och kvackar
båt|Fordon som flyter på vattnet
bil|Fordon med hjul
buss|Stort fordon för många
penna|Du skriver med denna
karta|Visar var platser finns
nyckel|Öppnar ett lås
låda|Behållare med lock
väska|Du bär saker i denna
ko|Gårdsdjur som ger mjölk
gris|Rosa gårdsdjur
höna|Fågel som lägger ägg
bi|Insekt som gör honung
myra|Litet insekt i kolonier
uggla|Nattfågel som uvar
räv|Listigt skogsdjur
lejon|Djungelns kung
eld|Het och lysande
vind|Luft i rörelse
sand|Finns på stranden
sten|Hård klippa på marken
löv|Grön del av trädet
frö|Växer till en ny planta
gård|Plats med djur och grödor
park|Grön plats att leka på
hem|Där du bor
dörr|Du öppnar denna för att gå in
vägg|Sida av ett rum
tak|Översta delen av huset
mamma|Kvinnlig förälder
pappa|Manlig förälder
barn|Ung människa
syskon|Bror eller syster
farmor|Mammas eller pappas mamma
farfar|Pappas pappa
mormor|Mammas mamma
morfar|Mammas pappa
kusin|Barn till moster eller morbror
vän|Person du tycker om
lärare|Undervisar i skolan
skola|Plats för lärande
bänk|Du sitter på denna i klassrummet
bord|Möbel att äta vid
stol|Möbel att sitta på
fönster|Glasöppning i väggen
golv|Du går på detta inomhus
kök|Rum där mat lagas
bad|Rum med badkar eller dusch
trädgård|Plats med blommor hemma
blomma|Färgglad växt
gräs|Grönt på marken
buske|Liten trädliknande växt
äpple|Rött eller grönt frukt
päron|Grön frukt i droppform
banan|Gul böjd frukt
jordgubbe|Röd somrig bärfrukt
druva|Liten frukt i klasar
apelsin|Rund citrusfrukt
citron|Sur gul citrusfrukt
morot|Orange rotfrukt
potatis|Rund rotfrukt till mat
bröd|Bakat av mjöl
ost|Gul mat från mjölk
smör|Gult pålägg på bröd
soppa|Varm vätska att äta
ris|Små vita korn
pasta|Italiensk mat av mjöl
kaka|Söt bakelse
glass|Kall söt dessert
godis|Sött att mumsa på
vatten|Törstig? Drick detta
juice|Dryck av frukt
te|Varm dryck i kopp
honung|Gul söt sak av bin
socker|Gör maten söt
salt|Krydda som smakar salt
gul|Färg på solen
grön|Färg på gräset
vit|Färg på snön
svart|Färg på natten
rosa|Ljus röd färg
lila|Blandning av rött och blått
orange|Färg mellan röd och gul
brun|Färg på jord
grå|Färg på moln
en|Första talet
två|Ett plus ett
tre|Ett plus två
fyra|Ett plus tre
fem|Antal fingrar på en hand
sex|Efter fem, före sju
sju|Dagar i en vecka
åtta|Efter sju
nio|Före tio
tio|Två gånger fem
huvud|Där hjärnan sitter
mun|Du äter med denna
öra|Du hör med detta
tand|Vit i munnen
hår|Växer på huvudet
arm|Mellan axel och hand
ben|Du står på dessa
mage|Mitt på kroppen
hjärta|Slår i bröstet
knä|Böjs när du springer
tå|Längst ut på foten
finger|Fem på varje hand
tumme|Kortaste fingret
kind|Rund del av ansiktet
hals|Kopplar huvud och kropp
rygg|Baksidan av kroppen
lår|Övre delen av benet
sova|Vila med slutna ögon
äta|Få i sig mat
dricka|Få i sig vätska
prata|Säga ord
lyssna|Använda öronen
se|Använda ögonen
lukta|Använda näsan
känna|Ta på med händerna
gå|Röra sig till fots
simma|Röra sig i vattnet
flyga|Röra sig genom luften
cykla|Åka på två hjul
måla|Färglägga med pensel
rita|Göra bilder med penna
läsa|Titta på ord i bok
skriva|Sätta bokstäver på papper
räkna|Säga tal i ordning
bygga|Sätta ihop delar
kasta|Skicka något genom luften
fånga|Ta emot något i luften
klappa|Slå ihop händerna
skratta|Visa glädje med ljud
gråta|Tårar rinner
kyssa|Visa kärlek med munnen
kram|Hålla om någon
le|Visa glädje i ansiktet
skrika|Ropa högt
dansa|Röra kroppen till musik
spela|Ha roligt med leksaker
vinna|Komma först i tävling
förlora|Inte vinna
dela|Ge till andra
hjälpa|Göra något för någon
älska|Tycka mycket om
önska|Hoppas på något
drömma|Se bilder när du sover
vakna|Sluta sova
tvätta|Göra sig ren med vatten
borsta|Rengöra tänder eller hår
klä|Sätta på sig kläder
öppna|Inte stängd
stänga|Inte öppen
komma|Anlända
stanna|Inte röra sig
vänta|Stå kvar en stund
leta|Försöka hitta
hitta|Upptäcka det man sökte
ge|Överlämna till någon
ta|Få i sin hand
fråga|Vill veta något
svara|Ge svar
hej|Ord när man möts
hejdå|Ord när man går
tack|Ord av tacksamhet
snälla|Artigt ord vid önskemål
ja|Bekräftande svar
nej|Förnekande svar
namn|Vad du kallas
år|Tid på tolv månader
månad|Ungefär trettio dagar
vecka|Sju dagar
dag|När solen lyser
natt|När det är mörkt
morgon|Tidig del av dagen
kväll|Sen del av dagen
timme|Sextio minuter
minut|Kort tidsenhet
måndag|Första veckodagen
tisdag|Andra veckodagen
onsdag|Mitt i veckan
torsdag|Fjärde veckodagen
fredag|Sista skoldagen
lördag|Helgens första dag
söndag|Veckans sista dag
vår|Säsong med blommor
sommar|Varm årstid
höst|Säsong när löven faller
vinter|Kall årstid med snö
varm|Hög temperatur
kall|Låg temperatur
stor|Inte liten
liten|Inte stor
hög|Långt upp
låg|Inte hög
lång|Inte kort
kort|Inte lång
ny|Inte gammal
gammal|Inte ny
fin|Snygg och trevlig
glad|Nöjd och lycklig
ledsen|Inte glad
rädd|Känner fara
modig|Utan rädsla
snäll|God mot andra
rolig|Gör en glad
snabb|Fort
långsam|Inte snabb
stark|Mycket kraft
svag|Inte stark
tung|Svår att lyfta
lätt|Inte tung
ren|Inte smutsig
smutsig|Inte ren
våt|Med vatten på
torr|Utan vatten
mjuk|Inte hård
hård|Inte mjuk
ljus|Inte mörk
mörk|Inte ljust
